Article,Fig,X_axis_label,Rate,Pyruvate,NADH,Lactate,NAD,Raw_X_axis,Raw_Y_axis,Raw_Vmax
Zewe_JBC_1962,Fig7,Lactate,-0.160234142,6.10E-05,0,0.003813138,1.46E-03,2.62251181,2.413112559,0.386663021
Zewe_JBC_1962,Fig7,Lactate,-0.114930351,6.10E-05,0,0.002831571,1.46E-03,3.531609006,3.364324712,0.386663021
Zewe_JBC_1962,Fig7,Lactate,-0.081012308,6.10E-05,0,0.001906533,1.46E-03,5.245124201,4.772892288,0.386663021
Zewe_JBC_1962,Fig7,Lactate,-0.063512371,6.10E-05,0,0.001442499,1.46E-03,6.932413021,6.087995398,0.386663021
Zewe_JBC_1962,Fig7,Lactate,-0.285491496,5.07E-05,0,0.006485083,1.46E-03,1.542000233,1.354376668,0.386663021
Zewe_JBC_1962,Fig7,Lactate,-0.183561558,5.07E-05,0,0.003812297,1.46E-03,2.623090148,2.106448784,0.386663021
Zewe_JBC_1962,Fig7,Lactate,-0.140557142,5.07E-05,0,0.002841261,1.46E-03,3.519564486,2.750931156,0.386663021
Zewe_JBC_1962,Fig7,Lactate,-0.098314984,5.07E-05,0,0.001905957,1.46E-03,5.246708345,3.932900208,0.386663021
Zewe_JBC_1962,Fig7,Lactate,-0.072935991,5.07E-05,0,0.00143945,1.46E-03,6.94709778,5.301402156,0.386663021
Zewe_JBC_1962,Fig7,Lactate,-0.338867357,3.05E-05,0,0.006483392,1.46E-03,1.542402555,1.141045346,0.386663021
Zewe_JBC_1962,Fig7,Lactate,-0.208655387,3.05E-05,0,0.003811603,1.46E-03,2.623567906,1.85311784,0.386663021
Zewe_JBC_1962,Fig7,Lactate,-0.163544488,3.05E-05,0,0.002840672,1.46E-03,3.520293695,2.364268135,0.386663021
Zewe_JBC_1962,Fig7,Lactate,-0.113294395,3.05E-05,0,0.001905601,1.46E-03,5.247689005,3.412905112,0.386663021
Zewe_JBC_1962,Fig7,Lactate,-0.089893503,3.05E-05,0,0.001441798,1.46E-03,6.935782469,4.301345579,0.386663021
Zewe_JBC_1962,Fig7,Lactate,-0.442213331,0.00E+00,0,0.006481279,1.46E-03,1.542905457,0.874381194,0.386663021
Zewe_JBC_1962,Fig7,Lactate,-0.298999592,0.00E+00,0,0.003791002,1.46E-03,2.637825197,1.293189126,0.386663021
Zewe_JBC_1962,Fig7,Lactate,-0.241020366,0.00E+00,0,0.002839516,1.46E-03,3.521726968,1.604275302,0.386663021
Zewe_JBC_1962,Fig7,Lactate,-0.151068933,0.00E+00,0,0.001909819,1.46E-03,5.236097098,2.559513819,0.386663021
Zewe_JBC_1962,Fig7,Lactate,-0.137045268,0.00E+00,0,0.001438482,1.46E-03,6.951774775,2.821425541,0.386663021
Zewe_JBC_1962,Fig8,NAD,-0.493894547,6.31E-05,0,1.20E-02,0.002005971,4.985116908,1.363286932,0.673319982
Zewe_JBC_1962,Fig8,NAD,-0.475051436,6.31E-05,0,1.20E-02,0.001428912,6.998330551,1.41736227,0.673319982
Zewe_JBC_1962,Fig8,NAD,-0.429724399,6.31E-05,0,1.20E-02,0.001026616,9.740744741,1.566864676,0.673319982
